,Drug,Cell
254,759614,UACC_62
117,329680,RPMI_8226
80,174121,HOP_92
203,702294,786_0
72,153353,UACC_62
141,409962,CCRF_CEM
268,791785,HCC_2998
231,754771,HCC_2998
65,139105,A549
126,352299,TK_10
68,143020,SK_MEL_5
93,256942,NCI_H23
88,246131,IGROV1
106,295501,786_0
90,249992,NCI_H322M
200,697887,CCRF_CEM
101,279836,MOLT_4
59,132483,HOP_92
103,287459,HOP_92
112,312887,MCF7
129,354646,SN12C
66,141540,SF_539
51,118994,NCI_H522
38,95441,SN12C
123,349174,SNB_75
185,681638,M14
182,681635,CCRF_CEM
14,25154,UACC_62
121,344007,RPMI_8226
144,603074,UO_31
198,683558,SF_295
231,754771,MCF7
249,758671,MDA_MB_435
170,634724,RPMI_8226
17,27640,SW_620
182,681635,RXF_393
268,791785,HL_60
17,27640,RPMI_8226
166,627168,SF_268
96,267469,MDA_MB_231
171,637037,SNB_19
44,105014,HCC_2998
260,765775,MOLT_4
40,95678,NCI_H322M
78,169780,BT_549
252,759195,MCF7
95,266046,A549
81,176323,UACC_257
127,353451,T47D
228,754230,MCF7
205,708298,OVCAR_4
96,267469,IGROV1
125,352122,MDA_N
89,249910,NCI_H226
96,267469,SW_620
144,603074,OVCAR_4
193,681646,UO_31
150,606497,SNB_75
163,618939,NCI_H226
103,287459,UACC_62
68,143020,OVCAR_5
155,606986,SK_MEL_5
177,656889,BT_549
70,145668,SF_268
158,610457,SF_295
177,656889,A498
212,725776,KM12
181,681634,786_0
151,606498,SNB_75
238,757036,HOP_92
42,102627,ACHN
190,681643,NCI_H460
27,71795,SF_268
228,754230,LOXIMVI
36,94600,SF_539
171,637037,MALME_3M
73,154948,A549
157,610456,A498
5,1895,SNB_19
159,610458,MOLT_4
179,681632,EKVX
181,681634,SW_620
199,694501,MALME_3M
25,63984,SF_295
253,759263,HCT_116
261,767125,SNB_75
8,6396,SR
200,697887,MDA_N
212,725776,786_0
80,174121,M14
12,19893,HCC_2998
166,627168,CCRF_CEM
123,349174,OVCAR_4
112,312887,SF_268
115,326231,CCRF_CEM
249,758671,SR
234,755880,HOP_62
248,758667,KM12
239,757087,NCI_ADR_RES
126,352299,HOP_92
113,314622,OVCAR_8
3,762,M14
17,27640,LOXIMVI
130,355644,NCI_H226
170,634724,SNB_19
156,609699,HS578T
62,134727,TK_10
52,122819,A498
106,295501,NCI_H522
170,634724,NCI_H460
29,73754,NCI_H460
107,296934,NCI_H226
265,783107,RXF_393
167,627505,SNB_19
103,287459,CCRF_CEM
191,681644,NCI_H322M
227,753686,TK_10
8,6396,SNB_19
157,610456,NCI_H322M
110,303812,SN12C
250,758706,COLO205
211,724998,UACC_62
87,241240,A498
139,374028,PC_3
249,758671,HOP_92
86,224131,M14
208,719276,MDA_MB_435
189,681642,HOP_62
29,73754,HCC_2998
94,264137,HOP_62
223,740521,HCC_2998
93,256942,EKVX
235,755985,NCI_ADR_RES
74,156303,UACC_257
120,343499,SF_268
267,789797,ACHN
200,697887,LOXIMVI
127,353451,SK_MEL_5
248,758667,NCI_H522
104,295499,COLO205
165,623017,NCI_H522
3,762,HCT_116
46,107124,OVCAR_4
256,759878,COLO205
109,302991,OVCAR_3
144,603074,HL_60
126,352299,IGROV1
121,344007,NCI_H23
189,681642,EKVX
5,1895,SNB_75
163,618939,U251
183,681636,MDA_MB_435
103,287459,RXF_393
6,3053,NCI_H322M
136,368390,SN12C
109,302991,TK_10
110,303812,M14
251,759155,SN12C
183,681636,UACC_62
40,95678,MDA_MB_435
38,95441,CCRF_CEM
169,633782,A498
118,337766,SNB_19
23,56410,UACC_257
67,141549,UACC_62
81,176323,SF_295
60,134033,OVCAR_5
71,148958,U251
127,353451,786_0
207,710270,SW_620
255,759857,NCI_H522
183,681636,HOP_62
15,26271,RXF_393
89,249910,CCRF_CEM
36,94600,M14
88,246131,MOLT_4
161,613327,SK_MEL_28
38,95441,HS578T
258,760764,NCI_H460
97,268242,SN12C
251,759155,HOP_92
199,694501,EKVX
163,618939,T47D
214,734294,TK_10
140,374551,A549
252,759195,CCRF_CEM
160,610459,SR
44,105014,A549
175,639186,HCT_15
109,302991,SN12C
183,681636,T47D
255,759857,SW_620
17,27640,NCI_H322M
94,264137,T47D
170,634724,SK_MEL_2
21,45388,MCF7
180,681633,A498
141,409962,SK_MEL_2
81,176323,MOLT_4
72,153353,NCI_ADR_RES
245,758255,BT_549
199,694501,UACC_62
52,122819,SK_MEL_2
108,301739,ACHN
211,724998,RXF_393
266,784722,SF_295
88,246131,SW_620
78,169780,NCI_H460
50,118218,HOP_92
8,6396,SF_539
133,364830,NCI_H460
197,683557,M14
84,184692,HS578T
156,609699,SK_MEL_5
131,357704,CAKI_1
58,132313,786_0
238,757036,T47D
241,757348,SN12C
91,256439,PC_3
195,683555,SK_MEL_28
5,1895,MDA_MB_435
67,141549,SF_295
73,154948,HOP_92
17,27640,ACHN
131,357704,COLO205
3,762,RPMI_8226
61,134679,MCF7
234,755880,CAKI_1
55,125066,IGROV1
58,132313,DU_145
81,176323,SW_620
27,71795,SNB_75
111,308847,A498
234,755880,SN12C
225,747856,MDA_MB_435
148,606172,OVCAR_8
204,706744,NCI_H460
29,73754,SK_OV_3
189,681642,SF_295
62,134727,UO_31
137,369100,MALME_3M
193,681646,U251
132,363812,NCI_H522
249,758671,BT_549
108,301739,SW_620
140,374551,DU_145
25,63984,SN12C
212,725776,TK_10
25,63984,CCRF_CEM
262,768112,SK_MEL_5
31,79037,SK_MEL_2
49,111533,T47D
231,754771,HOP_62
127,353451,SW_620
5,1895,HT29
159,610458,SK_MEL_28
163,618939,K_562
40,95678,SN12C
108,301739,COLO205
214,734294,OVCAR_8
89,249910,NCI_H23
209,719627,HCT_116
114,320846,CAKI_1
11,14229,SR
210,721517,RXF_393
225,747856,BT_549
102,281612,ACHN
13,24559,SW_620
236,756660,PC_3
69,143095,NCI_H460
175,639186,NCI_H322M
89,249910,SF_539
172,637651,TK_10
227,753686,DU_145
85,218321,HT29
99,271674,MDA_MB_231
208,719276,LOXIMVI
76,164011,SNB_19
25,63984,786_0
106,295501,RPMI_8226
50,118218,NCI_H522
217,736201,HL_60
207,710270,MDA_MB_435
184,681637,HCT_116
16,26980,COLO205
62,134727,UACC_62
150,606497,LOXIMVI
120,343499,NCI_H226
4,1390,ACHN
160,610459,UACC_62
151,606498,IGROV1
185,681638,ACHN
47,107392,BT_549
186,681639,HCT_15
30,77213,IGROV1
219,736493,T47D
239,757087,SK_OV_3
248,758667,SNB_75
234,755880,OVCAR_8
9,8806,SNB_75
61,134679,COLO205
28,71851,SF_268
22,51143,NCI_ADR_RES
199,694501,CCRF_CEM
53,123127,TK_10
69,143095,UACC_257
7,3088,A498
191,681644,SK_MEL_2
103,287459,NCI_ADR_RES
263,768593,CCRF_CEM
131,357704,SW_620
141,409962,NCI_ADR_RES
212,725776,SF_295
242,757804,OVCAR_4
12,19893,SN12C
191,681644,EKVX
191,681644,HT29
95,266046,UACC_257
80,174121,SF_539
11,14229,SNB_75
165,623017,HCT_15
263,768593,SK_MEL_28
137,369100,RXF_393
183,681636,NCI_H23
14,25154,MDA_MB_435
49,111533,SNB_19
110,303812,HOP_92
110,303812,UACC_257
186,681639,HL_60
102,281612,SF_268
94,264137,A549
18,32065,CCRF_CEM
88,246131,HT29
247,758612,UACC_62
184,681637,KM12
22,51143,OVCAR_5
223,740521,MDA_MB_231
69,143095,MOLT_4
161,613327,BT_549
185,681638,UACC_62
37,95382,SW_620
130,355644,K_562
138,369395,BT_549
48,109724,OVCAR_3
241,757348,SK_MEL_28
183,681636,CAKI_1
54,124463,OVCAR_5
44,105014,T47D
2,755,OVCAR_5
68,143020,HOP_62
94,264137,SF_295
105,295500,NCI_H322M
245,758255,SF_539
223,740521,SF_539
177,656889,RXF_393
55,125066,NCI_H226
153,606869,ACHN
226,752840,EKVX
29,73754,NCI_H226
251,759155,SNB_75
109,302991,MOLT_4
181,681634,OVCAR_3
76,164011,LOXIMVI
36,94600,COLO205
31,79037,CCRF_CEM
182,681635,SNB_75
238,757036,SNB_19
253,759263,COLO205
167,627505,OVCAR_4
179,681632,MDA_MB_231
180,681633,UACC_257
100,276382,UACC_62
4,1390,K_562
127,353451,NCI_H226
168,629971,NCI_H23
124,351710,CAKI_1
76,164011,T47D
237,756717,HCC_2998
142,526598,OVCAR_8
139,374028,HOP_62
173,638066,TK_10
83,182986,HOP_62
47,107392,MDA_MB_435
178,673596,RPMI_8226
108,301739,KM12
242,757804,K_562
259,765396,NCI_H226
71,148958,HCT_116
262,768112,M14
176,643833,KM12
216,736198,HT29
91,256439,BT_549
90,249992,SF_295
61,134679,T47D
160,610459,MALME_3M
229,754365,UO_31
37,95382,NCI_H226
206,709237,U251
35,89201,NCI_H522
253,759263,MALME_3M
167,627505,HL_60
190,681643,HS578T
128,354258,EKVX
63,135758,COLO205
45,105132,HL_60
207,710270,786_0
175,639186,LOXIMVI
6,3053,HOP_62
140,374551,NCI_H322M
71,148958,HS578T
263,768593,OVCAR_3
167,627505,MOLT_4
206,709237,UACC_62
190,681643,OVCAR_5
230,754366,MCF7
29,73754,PC_3
63,135758,SN12C
118,337766,LOXIMVI
53,123127,SF_539
233,755841,IGROV1
214,734294,HCT_116
246,758423,UACC_257
247,758612,SF_268
253,759263,SNB_75
69,143095,COLO205
171,637037,SNB_75
117,329680,HL_60
125,352122,CCRF_CEM
162,616348,IGROV1
72,153353,HOP_92
241,757348,OVCAR_5
49,111533,M14
252,759195,LOXIMVI
121,344007,SF_268
262,768112,SK_OV_3
14,25154,SK_MEL_2
233,755841,EKVX
115,326231,HT29
12,19893,MCF7
155,606986,HOP_92
109,302991,BT_549
253,759263,U251
16,26980,OVCAR_3
40,95678,ACHN
233,755841,MDA_MB_231
109,302991,T47D
48,109724,TK_10
196,683556,SF_295
127,353451,HCT_116
87,241240,SK_MEL_2
155,606986,786_0
4,1390,OVCAR_8
49,111533,786_0
212,725776,HL_60
109,302991,COLO205
105,295500,OVCAR_3
251,759155,BT_549
228,754230,SK_MEL_2
46,107124,A549
37,95382,OVCAR_5
160,610459,EKVX
156,609699,NCI_H226
136,368390,NCI_H226
234,755880,SW_620
246,758423,NCI_H522
14,25154,SK_MEL_5
140,374551,M14
209,719627,SF_268
177,656889,NCI_H522
31,79037,MCF7
138,369395,LOXIMVI
32,82151,LOXIMVI
116,328410,A498
79,172112,HCT_15
104,295499,DU_145
214,734294,HS578T
10,9706,A549
118,337766,UACC_257
69,143095,M14
52,122819,SN12C
16,26980,MOLT_4
127,353451,OVCAR_5
142,526598,SK_OV_3
238,757036,SN12C
182,681635,T47D
209,719627,OVCAR_4
133,364830,ACHN
165,623017,HCC_2998
132,363812,CAKI_1
7,3088,NCI_H226
167,627505,MDA_MB_435
258,760764,HCC_2998
75,163501,NCI_H322M
119,338947,RPMI_8226
268,791785,UACC_257
109,302991,ACHN
109,302991,MDA_MB_435
84,184692,TK_10
22,51143,U251
108,301739,CCRF_CEM
0,740,SK_MEL_28
155,606986,U251
145,603076,UACC_257
214,734294,OVCAR_3
103,287459,SF_295
128,354258,CAKI_1
77,167780,HS578T
5,1895,HCC_2998
155,606986,OVCAR_5
66,141540,PC_3
72,153353,SW_620
87,241240,786_0
98,269148,OVCAR_8
185,681638,OVCAR_3
191,681644,CCRF_CEM
76,164011,K_562
54,124463,COLO205
79,172112,SK_MEL_2
170,634724,A549
237,756717,ACHN
167,627505,TK_10
9,8806,MDA_N
201,697912,SW_620
64,138783,786_0
192,681645,HOP_62
100,276382,TK_10
218,736202,SNB_19
268,791785,CCRF_CEM
197,683557,IGROV1
261,767125,IGROV1
196,683556,OVCAR_8
189,681642,SK_MEL_2
115,326231,SNB_19
233,755841,DU_145
37,95382,HOP_92
164,619232,OVCAR_4
159,610458,ACHN
103,287459,A549
21,45388,HOP_62
170,634724,SK_MEL_5
231,754771,SK_OV_3
44,105014,SW_620
110,303812,ACHN
251,759155,TK_10
64,138783,OVCAR_8
184,681637,UACC_62
98,269148,HL_60
29,73754,MCF7
243,758230,RXF_393
10,9706,SK_OV_3
176,643833,PC_3
72,153353,NCI_H322M
121,344007,MDA_MB_231
238,757036,SF_268
245,758255,RXF_393
113,314622,NCI_H522
151,606498,OVCAR_4
1,752,NCI_ADR_RES
188,681641,SK_MEL_2
93,256942,MDA_MB_231
193,681646,MOLT_4
115,326231,M14
50,118218,HOP_62
210,721517,MDA_MB_435
210,721517,A498
91,256439,KM12
6,3053,T47D
127,353451,IGROV1
261,767125,MALME_3M
129,354646,MCF7
40,95678,M14
0,740,HL_60
203,702294,OVCAR_3
129,354646,MOLT_4
46,107124,RXF_393
89,249910,MDA_MB_231
41,100880,CCRF_CEM
219,736493,HCC_2998
107,296934,SNB_75
72,153353,MOLT_4
13,24559,U251
51,118994,OVCAR_4
87,241240,HOP_92
86,224131,COLO205
87,241240,NCI_H322M
183,681636,SNB_19
4,1390,HOP_62
236,756660,CCRF_CEM
227,753686,HL_60
16,26980,SF_268
245,758255,HL_60
92,256927,TK_10
168,629971,NCI_H226
94,264137,UACC_62
57,127716,HCC_2998
266,784722,OVCAR_8
84,184692,SF_295
115,326231,UACC_62
44,105014,SN12C
9,8806,IGROV1
52,122819,NCI_ADR_RES
48,109724,OVCAR_4
192,681645,NCI_H226
160,610459,NCI_H322M
219,736493,ACHN
256,759878,BT_549
247,758612,NCI_H522
149,606173,SW_620
43,104800,CAKI_1
211,724998,SK_OV_3
125,352122,TK_10
230,754366,NCI_H522
235,755985,RXF_393
56,126771,SN12C
215,735037,SF_295
51,118994,UO_31
101,279836,SF_295
264,772992,SN12C
243,758230,SN12C
126,352299,UACC_62
256,759878,SR
233,755841,UACC_62
72,153353,SR
140,374551,SW_620
54,124463,SF_539
178,673596,SK_MEL_5
157,610456,RXF_393
168,629971,T47D
91,256439,NCI_H226
202,698037,NCI_H522
73,154948,TK_10
225,747856,HCC_2998
139,374028,NCI_ADR_RES
219,736493,HS578T
236,756660,SR
74,156303,U251
133,364830,OVCAR_3
201,697912,SF_268
237,756717,SK_MEL_28
8,6396,786_0
29,73754,BT_549
251,759155,SF_295
140,374551,HCT_15
202,698037,TK_10
199,694501,TK_10
78,169780,DU_145
151,606498,HCC_2998
84,184692,BT_549
139,374028,UO_31
49,111533,SF_539
249,758671,HT29
41,100880,SF_539
101,279836,UO_31
189,681642,M14
226,752840,NCI_H322M
47,107392,DU_145
246,758423,SK_MEL_28
188,681641,LOXIMVI
224,740645,COLO205
190,681643,CAKI_1
95,266046,KM12
87,241240,CAKI_1
214,734294,COLO205
248,758667,ACHN
126,352299,M14
260,765775,NCI_H226
47,107392,RPMI_8226
264,772992,UO_31
219,736493,SW_620
250,758706,NCI_ADR_RES
4,1390,SK_MEL_28
60,134033,UACC_62
245,758255,NCI_H23
45,105132,HS578T
136,368390,MDA_MB_231
132,363812,SR
57,127716,CAKI_1
131,357704,KM12
129,354646,KM12
2,755,OVCAR_8
72,153353,M14
191,681644,SF_539
243,758230,HS578T
210,721517,SR
126,352299,PC_3
87,241240,PC_3
90,249992,HL_60
120,343499,M14
187,681640,SK_MEL_2
21,45388,SW_620
238,757036,UO_31
112,312887,M14
68,143020,CAKI_1
205,708298,CCRF_CEM
105,295500,SF_268
243,758230,SK_MEL_28
159,610458,SF_268
127,353451,COLO205
266,784722,UACC_62
144,603074,OVCAR_5
94,264137,SF_268
111,308847,SK_OV_3
56,126771,OVCAR_4
5,1895,NCI_ADR_RES
217,736201,KM12
104,295499,NCI_H226
99,271674,HCT_15
17,27640,SNB_19
122,348948,A498
240,757098,KM12
96,267469,HOP_62
228,754230,MOLT_4
241,757348,EKVX
62,134727,A549
151,606498,SNB_19
159,610458,HOP_62
174,639174,U251
23,56410,MOLT_4
77,167780,A549
39,95466,U251
152,606499,NCI_H322M
38,95441,SK_MEL_28
50,118218,ACHN
60,134033,NCI_H322M
1,752,UACC_257
230,754366,A498
239,757087,IGROV1
99,271674,BT_549
53,123127,ACHN
235,755985,MOLT_4
258,760764,MDA_MB_435
70,145668,MDA_MB_231
77,167780,SNB_19
215,735037,NCI_H460
37,95382,OVCAR_4
135,366140,OVCAR_5
191,681644,BT_549
17,27640,SF_295
62,134727,SF_539
76,164011,HCC_2998
176,643833,ACHN
12,19893,SNB_19
124,351710,HCT_116
224,740645,HS578T
31,79037,HT29
79,172112,SK_OV_3
137,369100,NCI_H23
210,721517,M14
117,329680,A498
60,134033,MCF7
242,757804,SK_OV_3
80,174121,ACHN
31,79037,NCI_H460
136,368390,SNB_75
202,698037,MDA_N
220,736624,SN12C
262,768112,HT29
220,736624,EKVX
138,369395,EKVX
94,264137,HOP_92
8,6396,SF_295
44,105014,RPMI_8226
225,747856,SF_268
250,758706,MDA_MB_231
94,264137,SNB_75
191,681644,U251
59,132483,SK_MEL_5
139,374028,M14
181,681634,SK_MEL_5
56,126771,DU_145
245,758255,PC_3
200,697887,NCI_ADR_RES
124,351710,SW_620
210,721517,SW_620
105,295500,HOP_62
70,145668,SK_OV_3
69,143095,SR
77,167780,OVCAR_5
4,1390,HT29
169,633782,EKVX
163,618939,SN12C
212,725776,DU_145
32,82151,M14
157,610456,SK_MEL_2
218,736202,CAKI_1
82,178248,NCI_H522
28,71851,OVCAR_8
5,1895,CCRF_CEM
115,326231,T47D
17,27640,SNB_75
224,740645,HOP_62
175,639186,TK_10
86,224131,UACC_62
200,697887,HOP_92
196,683556,SF_539
154,606985,LOXIMVI
246,758423,CCRF_CEM
105,295500,SN12C
103,287459,ACHN
140,374551,T47D
189,681642,T47D
72,153353,HT29
204,706744,HCT_116
198,683558,HOP_62
47,107392,UACC_62
240,757098,MDA_MB_231
235,755985,COLO205
74,156303,KM12
225,747856,MALME_3M
168,629971,A498
174,639174,LOXIMVI
149,606173,OVCAR_5
125,352122,RPMI_8226
64,138783,UACC_62
261,767125,SF_268
153,606869,SNB_19
78,169780,MDA_MB_231
39,95466,HL_60
22,51143,UACC_62
12,19893,M14
194,682298,SF_539
189,681642,NCI_H460
125,352122,A498
256,759878,NCI_H460
84,184692,SK_OV_3
42,102627,DU_145
19,34462,DU_145
199,694501,RXF_393
133,364830,SNB_19
179,681632,LOXIMVI
82,178248,SK_MEL_5
255,759857,LOXIMVI
75,163501,LOXIMVI
66,141540,RXF_393
195,683555,IGROV1
201,697912,ACHN
51,118994,NCI_ADR_RES
247,758612,SNB_75
112,312887,T47D
170,634724,MDA_MB_435
192,681645,SR
221,737518,SF_295
96,267469,TK_10
203,702294,HT29
96,267469,HL_60
265,783107,SF_268
221,737518,MDA_MB_435
129,354646,MDA_MB_231
249,758671,A549
159,610458,SN12C
54,124463,HOP_62
63,135758,UO_31
79,172112,HCC_2998
125,352122,UO_31
127,353451,A549
18,32065,HS578T
214,734294,NCI_H460
106,295501,SK_MEL_28
161,613327,A498
145,603076,NCI_H460
228,754230,NCI_H226
236,756660,OVCAR_8
61,134679,HS578T
102,281612,KM12
57,127716,MOLT_4
230,754366,PC_3
216,736198,IGROV1
198,683558,OVCAR_3
89,249910,ACHN
33,83142,BT_549
68,143020,OVCAR_3
7,3088,SNB_19
81,176323,A549
11,14229,U251
106,295501,SR
119,338947,COLO205
217,736201,DU_145
24,63878,K_562
40,95678,SK_MEL_2
256,759878,MCF7
138,369395,KM12
159,610458,RPMI_8226
142,526598,NCI_H522
108,301739,MCF7
174,639174,SN12C
87,241240,IGROV1
144,603074,NCI_H226
122,348948,SK_MEL_28
171,637037,K_562
99,271674,CCRF_CEM
125,352122,OVCAR_4
218,736202,CCRF_CEM
104,295499,NCI_H460
132,363812,HS578T
218,736202,NCI_H522
182,681635,A498
224,740645,SR
29,73754,SK_MEL_5
261,767125,UO_31
168,629971,SNB_75
107,296934,NCI_H522
101,279836,T47D
104,295499,OVCAR_5
97,268242,SF_295
81,176323,HL_60
27,71795,SF_295
87,241240,MALME_3M
123,349174,SK_OV_3
88,246131,CAKI_1
194,682298,EKVX
119,338947,SNB_19
79,172112,RPMI_8226
120,343499,A498
41,100880,SK_MEL_5
81,176323,MDA_MB_435
41,100880,MOLT_4
62,134727,NCI_H522
157,610456,HS578T
131,357704,NCI_H522
107,296934,MDA_N
137,369100,NCI_H226
200,697887,TK_10
66,141540,HCT_116
140,374551,SF_295
65,139105,NCI_H460
4,1390,NCI_H522
155,606986,SF_295
23,56410,SF_539
43,104800,EKVX
44,105014,SNB_19
87,241240,SNB_19
52,122819,TK_10
67,141549,HS578T
242,757804,SR
25,63984,IGROV1
243,758230,NCI_H522
33,83142,OVCAR_4
221,737518,HL_60
238,757036,OVCAR_3
217,736201,HS578T
14,25154,U251
238,757036,KM12
236,756660,NCI_ADR_RES
135,366140,HT29
19,34462,SN12C
38,95441,SR
168,629971,HL_60
158,610457,SK_MEL_2
192,681645,MCF7
61,134679,SN12C
213,728073,SNB_19
11,14229,HCT_15
243,758230,OVCAR_5
100,276382,SN12C
191,681644,HCT_15
128,354258,SK_MEL_5
201,697912,UO_31
235,755985,LOXIMVI
97,268242,SK_MEL_2
230,754366,SNB_19
252,759195,COLO205
53,123127,MDA_MB_231
201,697912,T47D
199,694501,MDA_N
53,123127,SN12C
253,759263,UO_31
178,673596,SNB_75
181,681634,CAKI_1
44,105014,SK_MEL_5
129,354646,SF_268
143,603071,SF_295
77,167780,KM12
171,637037,OVCAR_5
214,734294,DU_145
35,89201,NCI_H226
201,697912,HT29
158,610457,M14
101,279836,SF_268
78,169780,HL_60
101,279836,SR
161,613327,LOXIMVI
58,132313,RXF_393
158,610457,NCI_H522
55,125066,SK_MEL_5
207,710270,HT29
47,107392,SF_295
4,1390,EKVX
99,271674,SF_295
39,95466,NCI_ADR_RES
127,353451,MOLT_4
52,122819,IGROV1
206,709237,SK_MEL_5
205,708298,SK_OV_3
201,697912,UACC_62
108,301739,SF_539
161,613327,MOLT_4
245,758255,SN12C
111,308847,MDA_N
144,603074,K_562
161,613327,SF_268
219,736493,SN12C
8,6396,KM12
257,760419,HOP_62
127,353451,UACC_62
27,71795,A498
179,681632,CCRF_CEM
54,124463,CCRF_CEM
34,85998,LOXIMVI
240,757098,A498
160,610459,M14
218,736202,HCC_2998
168,629971,HT29
232,755384,MALME_3M
42,102627,SF_268
81,176323,HOP_92
113,314622,MDA_N
268,791785,UO_31
98,269148,NCI_H522
167,627505,A498
149,606173,NCI_H322M
256,759878,SNB_19
78,169780,T47D
36,94600,PC_3
174,639174,NCI_H522
159,610458,MALME_3M
75,163501,SN12C
121,344007,MDA_MB_435
259,765396,UACC_257
67,141549,HCT_116
71,148958,MDA_MB_231
178,673596,HS578T
189,681642,SR
4,1390,SK_OV_3
134,365798,HOP_92
180,681633,CAKI_1
189,681642,NCI_ADR_RES
189,681642,SK_MEL_28
14,25154,UO_31
137,369100,OVCAR_5
228,754230,T47D
171,637037,COLO205
53,123127,A549
131,357704,OVCAR_8
53,123127,U251
219,736493,A549
20,38721,HT29
191,681644,SN12C
63,135758,OVCAR_5
185,681638,A549
104,295499,CCRF_CEM
217,736201,ACHN
266,784722,NCI_H522
209,719627,MALME_3M
210,721517,SK_MEL_28
51,118994,SF_268
10,9706,OVCAR_4
246,758423,HOP_62
213,728073,OVCAR_5
119,338947,SK_MEL_2
90,249992,SR
112,312887,SF_539
190,681643,ACHN
104,295499,SF_295
75,163501,HCT_15
98,269148,MDA_MB_435
19,34462,786_0
29,73754,CCRF_CEM
232,755384,UO_31
259,765396,HCC_2998
267,789797,HL_60
8,6396,SNB_75
130,355644,RXF_393
197,683557,SR
121,344007,KM12
106,295501,CCRF_CEM
85,218321,MALME_3M
89,249910,OVCAR_8
40,95678,CCRF_CEM
148,606172,BT_549
84,184692,NCI_H322M
91,256439,UACC_62
94,264137,MOLT_4
76,164011,MOLT_4
133,364830,BT_549
11,14229,MOLT_4
146,603077,A549
125,352122,A549
242,757804,SK_MEL_2
223,740521,UACC_257
197,683557,SW_620
201,697912,RPMI_8226
226,752840,SF_268
68,143020,RPMI_8226
70,145668,MDA_MB_435
252,759195,HCT_15
137,369100,HS578T
177,656889,HOP_92
237,756717,786_0
82,178248,SNB_19
7,3088,OVCAR_5
215,735037,SK_MEL_2
47,107392,SNB_75
141,409962,HOP_62
210,721517,KM12
11,14229,SF_295
101,279836,A498
254,759614,SF_539
102,281612,A549
64,138783,SW_620
218,736202,MCF7
187,681640,MALME_3M
265,783107,MDA_MB_231
230,754366,M14
208,719276,HCC_2998
55,125066,CCRF_CEM
10,9706,RPMI_8226
24,63878,COLO205
150,606497,SW_620
38,95441,NCI_H23
145,603076,K_562
182,681635,HCC_2998
51,118994,SW_620
1,752,NCI_H460
101,279836,RPMI_8226
260,765775,MDA_MB_435
153,606869,HCT_15
207,710270,SNB_19
155,606986,MDA_N
228,754230,SK_OV_3
263,768593,U251
208,719276,IGROV1
252,759195,SK_OV_3
86,224131,786_0
42,102627,HS578T
29,73754,NCI_H522
175,639186,CAKI_1
258,760764,BT_549
64,138783,OVCAR_5
213,728073,OVCAR_8
30,77213,NCI_ADR_RES
87,241240,SF_268
40,95678,HOP_92
131,357704,MCF7
233,755841,KM12
169,633782,RPMI_8226
151,606498,SK_MEL_28
81,176323,SK_MEL_5
106,295501,OVCAR_5
16,26980,MDA_MB_435
38,95441,SNB_75
11,14229,NCI_ADR_RES
81,176323,ACHN
256,759878,A498
249,758671,DU_145
104,295499,RPMI_8226
103,287459,NCI_H460
56,126771,T47D
130,355644,HCT_116
231,754771,SK_MEL_28
240,757098,OVCAR_3
14,25154,ACHN
